date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:19	1340/1340	---MCZ	404	error ('Not%20Found')	text/html	etag:1715443021-ssl-df	https://mironcoder-greeny.netlify.app/robots.txt		(from )
16:23:20	272698/272698	---MCZ	200	added ('OK')	text/html	etag:%22c9f092e28b499a4760f8f904b9bf11fd-ssl-df%22	https://mironcoder-greeny.netlify.app/assets/ltr/	E:/Ecommerce/demo2/mironcoder-greeny.netlify.app/assets/ltr/index.html	(from )
16:23:21	11662/11662	---M--	200	added ('OK')	image/png	etag:%2238d65ca6f0e3e6fa092cf0077112c7e7-ssl%22	https://mironcoder-greeny.netlify.app/assets/ltr/images/favicon.png	E:/Ecommerce/demo2/mironcoder-greeny.netlify.app/assets/ltr/images/favicon.png	(from https://mironcoder-greeny.netlify.app/assets/ltr/)
16:23:21	1454/1454	---M-Z	200	added ('OK')	text/css	etag:%22b7231261fb3139c00af9146f60efda1d-ssl-df%22	https://mironcoder-greeny.netlify.app/assets/ltr/fonts/flaticon/flaticon.css	E:/Ecommerce/demo2/mironcoder-greeny.netlify.app/assets/ltr/fonts/flaticon/flaticon.css	(from https://mironcoder-greeny.netlify.app/assets/ltr/)
16:23:22	8067/8067	---MCZ	200	added ('OK')	text/css	etag:%22c7087c0b0b0915c01d116ff24adbd24c-ssl-df%22	https://mironcoder-greeny.netlify.app/assets/ltr/fonts/icofont/icofont.min.css	E:/Ecommerce/demo2/mironcoder-greeny.netlify.app/assets/ltr/fonts/icofont/icofont.min.css	(from https://mironcoder-greeny.netlify.app/assets/ltr/)
16:23:23	59128/59128	---MCZ	200	added ('OK')	text/css	etag:%22abdd1407ffdb44d9cea617fde67332fa-ssl-df%22	https://mironcoder-greeny.netlify.app/assets/ltr/fonts/fontawesome/fontawesome.min.css	E:/Ecommerce/demo2/mironcoder-greeny.netlify.app/assets/ltr/fonts/fontawesome/fontawesome.min.css	(from https://mironcoder-greeny.netlify.app/assets/ltr/)
16:23:23	18552/18552	---MCZ	200	added ('OK')	text/css	etag:%2287030bef0cb695ecf9f1e00d785ad1bc-ssl-df%22	https://mironcoder-greeny.netlify.app/assets/ltr/vendor/venobox/venobox.min.css	E:/Ecommerce/demo2/mironcoder-greeny.netlify.app/assets/ltr/vendor/venobox/venobox.min.css	(from https://mironcoder-greeny.netlify.app/assets/ltr/)
16:23:24	1333/1333	---M-Z	200	added ('OK')	text/css	etag:%22a2568a1d0612e6ebf0da413d9dd8adb7-ssl-df%22	https://mironcoder-greeny.netlify.app/assets/ltr/vendor/slickslider/slick.min.css	E:/Ecommerce/demo2/mironcoder-greeny.netlify.app/assets/ltr/vendor/slickslider/slick.min.css	(from https://mironcoder-greeny.netlify.app/assets/ltr/)
16:23:25	3739/3739	---MCZ	200	added ('OK')	text/css	etag:%2255d0bf672732b84d545919c9e2e0a550-ssl-df%22	https://mironcoder-greeny.netlify.app/assets/ltr/vendor/niceselect/nice-select.min.css	E:/Ecommerce/demo2/mironcoder-greeny.netlify.app/assets/ltr/vendor/niceselect/nice-select.min.css	(from https://mironcoder-greeny.netlify.app/assets/ltr/)
16:23:26	154546/154546	---MCZ	200	added ('OK')	text/css	etag:%22a77e037085d1f11e2c9ff929a84d8209-ssl-df%22	https://mironcoder-greeny.netlify.app/assets/ltr/vendor/bootstrap/bootstrap.min.css	E:/Ecommerce/demo2/mironcoder-greeny.netlify.app/assets/ltr/vendor/bootstrap/bootstrap.min.css	(from https://mironcoder-greeny.netlify.app/assets/ltr/)
